recording,timelocking_event,timelocking_time,epoch_idx,epoch_type,rejected,evar_FA,evar_n_hits,evar_max_hits,evar_HR,evar_trial_idx,cond_,set_Easy,set_Hard,set_Medium,trial_mean
"cS2_b1_b2_b3_b4_b5_b6","Trial:10 Rep2_1_nScene1_freqdistance0_freq(1600)_AM(7)_gap([7.7143,15.7143,22.8571]).wav",5888.628,22,"trial",0,0,3,3,1,22,1,1,0,0,-21.258514
"cS2_b1_b2_b3_b4_b5_b6","Trial:11 Rep3_3_nScene3_freqdistance6_freq(2016,993)_AM(23,7)_gap([6,15.2609,25;8.8571,21.1429;11.3333,18.3333]).wav",5923.982,23,"trial",1,1,2,3,0.66667,23,1,0,1,0,-42.512596
"cS2_b1_b2_b3_b4_b5_b6","Trial:12 Rep2_2_nScene2_freqdistance6_freq(1600,3154)_AM(7,13)_gap([6.1429,15.2857,24.7143;11.1538,17.6154]).wav",5959.312,24,"trial",0,1,3,3,1,24,1,0,0,1,6.9038501
"cS2_b1_b2_b3_b4_b5_b6","Trial:1 Rep4_3_nScene3_freqdistance6_freq(1425,2851)_AM(7,23)_gap([24.1429,26.4286;8.5217,10.6957,14.7391;17.3333,20,22]).wav",6001.401,25,"trial",1,3,1,2,0.5,25,1,0,1,0,130.18732
"cS2_b1_b2_b3_b4_b5_b6","Trial:2 Rep3_2_nScene2_freqdistance6_freq(1600,766)_AM(23,7)_gap([6.3913,9.087,16.3043;23.2857,26.8571]).wav",6036.767,26,"trial",0,0,3,3,1,26,1,0,0,1,53.567894
"cS2_b1_b2_b3_b4_b5_b6","Trial:3 Rep4_2_nScene2_freqdistance6_freq(1425,663)_AM(7,23)_gap([9.8571,17.1429,21.2857;7.2174,14.4783,25.9565]).wav",6072.014,27,"trial",1,3,3,3,1,27,1,0,0,1,83.953766
"cS2_b1_b2_b3_b4_b5_b6","Trial:4 Rep2_3_nScene3_freqdistance6_freq(1796,3540)_AM(23,3)_gap([6.087,25.1739;13,15.3333,20.3333;9.1429,22.5714]).wav",6107.165,28,"trial",1,1,1,2,0.5,28,1,0,1,0,-212.01088
"cS2_b1_b2_b3_b4_b5_b6","Trial:5 Rep3_3_nScene3_freqdistance6_freq(1600,3154)_AM(23,7)_gap([13.2174,24.913;6.1429,10.8571,27;15.3333,18.6667,22.3333]).wav",6143.098,29,"trial",0,0,2,2,1,29,1,0,1,0,6.6789804
"cS2_b1_b2_b3_b4_b5_b6","Trial:6 Rep1_1_nScene1_freqdistance0_freq(2016)_AM(7)_gap([8,14.4286,26.5714]).wav",6178.232,30,"trial",0,0,3,3,1,30,1,1,0,0,-74.77179
"cS2_b1_b2_b3_b4_b5_b6","Trial:7 Rep4_1_nScene1_freqdistance0_freq(1425)_AM(7)_gap([14.7143,21.7143]).wav",6213.665,31,"trial",0,0,2,2,1,31,1,1,0,0,-238.97269
"cS2_b1_b2_b3_b4_b5_b6","Trial:8 Rep2_1_nScene1_freqdistance0_freq(1796)_AM(23)_gap([13.6087,18.3913]).wav",6249.049,32,"trial",0,0,2,2,1,32,1,1,0,0,444.72482
"cS2_b1_b2_b3_b4_b5_b6","Trial:9 Rep1_2_nScene2_freqdistance6_freq(2016,993)_AM(7,13)_gap([14.1429,19,22.1429;8.0769,12.0769,26.4615]).wav",6286.216,33,"trial",1,2,2,3,0.66667,33,1,0,0,1,-38.170609
